Fecha,C05,C13,C19,C20,M5179
2000-01-01,,,,,
2000-02-01,,,,,
2000-03-01,,,,,
2000-04-01,,,,,
2000-05-01,,,,,
2000-06-01,,,,,
2000-07-01,,,,,
2000-08-01,,,,,
2000-09-01,,,,,
2000-10-01,,,,,
2000-11-01,,,,,
2000-12-01,,,,,
2001-01-01,,,,,
2001-02-01,,,,,
2001-03-01,,,,,
2001-04-01,,,,,
2001-05-01,,,,,
2001-06-01,,,,,
2001-07-01,,,,,
2001-08-01,,,,,
2001-09-01,,,,,
2001-10-01,,,,,
2001-11-01,,,,,
2001-12-01,,,,,
2002-01-01,,,,,
2002-02-01,,,,,
2002-03-01,,,,,
2002-04-01,,,,,
2002-05-01,,,,,
2002-06-01,,,,,
2002-07-01,,,,,
2002-08-01,,,,,
2002-09-01,,,,,
2002-10-01,,,,,
2002-11-01,,,,,
2002-12-01,,,,,
2003-01-01,,,,,
2003-02-01,,,,,
2003-03-01,,,,,
2003-04-01,,,,,
2003-05-01,,,,,
2003-06-01,,,,,
2003-07-01,,,,,
2003-08-01,,,,,
2003-09-01,,,,,
2003-10-01,,,,,
2003-11-01,,,,,
2003-12-01,,,,,
2004-01-01,,,,,
2004-02-01,,,,,
2004-03-01,,,,,
2004-04-01,,,,,
2004-05-01,,,,,
2004-06-01,,,,,
2004-07-01,,,,,
2004-08-01,,,,,
2004-09-01,,,,,
2004-10-01,,,,,
2004-11-01,,,,,
2004-12-01,,,,,
2005-01-01,,,,,
2005-02-01,,,,,
2005-03-01,,,,,
2005-04-01,,,,,
2005-05-01,,,,,
2005-06-01,,,,,
2005-07-01,,,,,
2005-08-01,,,,,
2005-09-01,,,,,
2005-10-01,,,,,
2005-11-01,,,,,
2005-12-01,,,,,
2006-01-01,,,,,
2006-02-01,,,,,
2006-03-01,,,,,
2006-04-01,,,,,
2006-05-01,,,,,
2006-06-01,,,,,
2006-07-01,,,,,
2006-08-01,,,,,
2006-09-01,,,,,
2006-10-01,,,,,
2006-11-01,,,,,
2006-12-01,,,,,
2007-01-01,,,,,
2007-02-01,,,,,
2007-03-01,,,,,
2007-04-01,,,,,
2007-05-01,,,,,
2007-06-01,,,,,
2007-07-01,,,,,
2007-08-01,,,,,
2007-09-01,,,,,
2007-10-01,,,,,
2007-11-01,,,,,
2007-12-01,,,,,
2008-01-01,,,,,
2008-02-01,,,,,
2008-03-01,,,,,
2008-04-01,,,,,
2008-05-01,,,,,
2008-06-01,,,,,
2008-07-01,,,,,
2008-08-01,,,,,
2008-09-01,,,,,
2008-10-01,,,,,
2008-11-01,,,,,
2008-12-01,,,,,
2009-01-01,,,,,
2009-02-01,,,,,
2009-03-01,,,,,
2009-04-01,,,,,
2009-05-01,,,,,
2009-06-01,,,,,
2009-07-01,,,,,
2009-08-01,,,,,
2009-09-01,,,,,
2009-10-01,,,,,
2009-11-01,,,,,
2009-12-01,,,,,
2010-01-01,,,,,
2010-02-01,,,,,
2010-03-01,,,,,
2010-04-01,,,,,
2010-05-01,,,,,
2010-06-01,,,,,
2010-07-01,,,,,
2010-08-01,,,,,
2010-09-01,,,,,
2010-10-01,,,,,
2010-11-01,,,,,
2010-12-01,,,,,
2011-01-01,,,,,
2011-02-01,,,,,
2011-03-01,,,,,
2011-04-01,,,,,
2011-05-01,,,,,
2011-06-01,,,,,
2011-07-01,,,,,
2011-08-01,,,,,
2011-09-01,,,,,
2011-10-01,,,,,
2011-11-01,,,,,
2011-12-01,12.463,,,,
2012-01-01,12.022,,,,
2012-02-01,12.033,,,,
2012-03-01,13.421,,,,
2012-04-01,12.285,,,,
2012-05-01,13.415,,,,
2012-06-01,13.697,,,,
2012-07-01,14.301,,,,
2012-08-01,14.075,,,,
2012-09-01,14.301,,,,
2012-10-01,12.930,,,,
2012-11-01,12.740,,,,
2012-12-01,12.944,,,,
2013-01-01,14.016,,,,
2013-02-01,12.821,,,,
2013-03-01,13.811,,,,
2013-04-01,,,,,
2013-05-01,,,,,
2013-06-01,,,,,
2013-07-01,,,,,
2013-08-01,,,,,
2013-09-01,,,,,
2013-10-01,,,,,
2013-11-01,,,,,
2013-12-01,,,,,
2014-01-01,,,,,
2014-02-01,,,,,
2014-03-01,,,,,
2014-04-01,,,,,
2014-05-01,,,,,
2014-06-01,,,,,
2014-07-01,,,,,
2014-08-01,,,,,
2014-09-01,,,,,
2014-10-01,,,,,
2014-11-01,,,,,
2014-12-01,,,,,
2015-01-01,,,,,
2015-02-01,,,,,
2015-03-01,,,,,
2015-04-01,,,,,
2015-05-01,,,,,
2015-06-01,,,,,
2015-07-01,,,,,
2015-08-01,,,,,
2015-09-01,,,,,
2015-10-01,,,,,
2015-11-01,,5.974,,,
2015-12-01,,,,,
2016-01-01,,,,,
2016-02-01,15.124,,,,
2016-03-01,,,,,
2016-04-01,,,,,
2016-05-01,,5.790,,,
2016-06-01,,,,,
2016-07-01,,,,,
2016-08-01,,4.539,,,
2016-09-01,,4.517,,,
2016-10-01,,5.773,,,
2016-11-01,,6.402,,,
2016-12-01,13.275,5.661,,,
2017-01-01,,5.548,,,
2017-02-01,,5.767,,,
2017-03-01,12.755,5.779,,,
2017-04-01,,5.711,,,
2017-05-01,,5.613,,,
2017-06-01,,5.165,,,
2017-07-01,,4.035,,,
2017-08-01,13.479,4.227,,,
2017-09-01,,4.706,,,
2017-10-01,13.581,5.350,,,7.698
2017-11-01,12.797,6.003,,,7.585
2017-12-01,12.247,5.641,,,7.586
2018-01-01,11.660,4.936,,,6.900
2018-02-01,12.139,6.001,,,7.787
2018-03-01,12.768,5.496,,,7.789
2018-04-01,12.091,5.841,,,7.547
2018-05-01,12.032,5.509,,,7.763
2018-06-01,12.747,4.759,,,7.193
2018-07-01,12.921,4.387,,,6.906
2018-08-01,13.188,4.142,,,6.726
2018-09-01,13.117,4.586,,,7.352
2018-10-01,12.506,6.014,,,7.934
2018-11-01,12.252,6.290,,,8.025
2018-12-01,12.715,5.137,,,7.573
2019-01-01,13.027,5.538,,,8.013
2019-02-01,,5.844,,,8.811
2019-03-01,13.128,5.851,,,8.789
2019-04-01,12.822,5.869,,,8.334
2019-05-01,12.944,5.300,,,7.919
2019-06-01,13.636,4.970,,,7.569
2019-07-01,13.037,4.249,,,6.882
2019-08-01,13.725,3.943,,,6.399
2019-09-01,13.361,,11.714,,7.522
2019-10-01,12.253,4.746,10.916,,7.382
2019-11-01,12.443,5.903,11.360,,7.958
2019-12-01,12.715,5.921,11.587,,8.096
2020-01-01,13.149,6.139,11.784,,8.028
2020-02-01,13.259,,11.932,,8.520
2020-03-01,13.063,,11.974,,8.699
2020-04-01,12.861,,11.678,,8.562
2020-05-01,13.575,,12.213,,8.430
2020-06-01,12.831,,11.512,,7.521
2020-07-01,12.334,,10.907,,6.677
2020-08-01,12.991,,11.506,,7.501
2020-09-01,12.802,,11.248,,6.959
2020-10-01,12.857,,11.376,,7.416
2020-11-01,12.107,,11.140,,7.448
2020-12-01,11.873,,10.774,,7.391
2021-01-01,12.087,,10.955,,7.387
2021-02-01,12.486,,11.396,,8.088
2021-03-01,11.426,,10.370,,7.005
2021-04-01,12.327,,11.123,,
2021-05-01,12.622,,11.465,,
2021-06-01,11.941,,10.909,,7.340
2021-07-01,12.620,,11.251,,7.043
2021-08-01,,,11.017,,6.820
2021-09-01,12.519,,11.190,,6.975
2021-10-01,11.982,,10.963,,7.862
2021-11-01,11.656,5.616,10.632,,7.599
2021-12-01,12.315,5.401,11.289,,8.572
2022-01-01,12.030,4.637,11.106,,7.726
2022-02-01,11.795,4.384,10.794,,7.950
2022-03-01,11.643,3.224,10.609,,
2022-04-01,12.378,3.551,11.144,,
2022-05-01,12.472,4.992,11.348,,8.069
2022-06-01,11.384,3.623,10.186,,6.808
2022-07-01,12.291,4.042,11.032,,7.031
2022-08-01,12.231,3.533,10.967,,6.719
2022-09-01,12.413,3.973,11.005,,7.125
2022-10-01,12.044,5.289,10.870,,7.443
2022-11-01,11.974,5.672,11.087,,7.558
2022-12-01,11.782,4.812,10.793,,7.384
2023-01-01,11.403,4.715,10.426,13.152,7.012
2023-02-01,12.537,5.127,11.557,14.142,8.261
2023-03-01,11.484,5.608,10.634,13.081,7.372
2023-04-01,12.145,5.645,,13.768,8.038
2023-05-01,13.428,5.801,12.333,15.102,8.842
2023-06-01,13.315,4.989,11.911,15.018,7.932
2023-07-01,13.549,4.831,12.042,15.231,7.637
2023-08-01,13.228,4.580,11.808,15.125,7.614
2023-09-01,13.761,4.525,12.132,15.569,7.833
2023-10-01,12.958,5.834,11.826,14.707,8.696
2023-11-01,13.243,6.317,12.187,14.953,8.733
2023-12-01,13.306,6.497,12.253,14.951,9.033
2024-01-01,13.485,5.994,12.322,15.275,8.692
2024-02-01,13.321,6.673,12.222,15.035,8.944
2024-03-01,13.861,6.497,12.638,15.532,8.772
2024-04-01,13.131,6.166,12.181,14.761,8.672
2024-05-01,13.628,6.362,12.567,15.162,9.192
2024-06-01,13.095,5.385,11.943,14.646,8.192
2024-07-01,13.608,4.734,12.030,15.512,7.578
2024-08-01,13.324,4.106,11.799,15.197,7.065
2024-09-01,13.872,4.623,12.355,15.694,
2024-10-01,13.203,5.886,12.151,15.001,
2024-11-01,12.278,6.268,11.410,14.355,
2024-12-01,12.436,5.734,11.390,14.098,
2025-01-01,12.180,5.313,11.124,13.791,
2025-02-01,11.915,5.617,11.015,,7.898
2025-03-01,11.836,5.813,10.977,13.676,7.670
2025-04-01,12.555,5.775,11.536,14.246,8.082
2025-05-01,12.794,5.321,11.638,14.355,7.923
2025-06-01,12.675,4.792,11.665,,7.242
2025-07-01,,,,,
